Genes,logFC,P.Value
4930432E11RIK,-3.432005355,0.005741709
4930433I11RIK,4.311303115,0.046394453
4930434B07RIK,3.740631824,0.043216184
4930435F18RIK,5.900378032,6.97E-08
4930438A08RIK,7.415258007,1.69E-06
4930440I19RIK,1.815728833,0.013856863
4930444A02RIK,-0.516140969,0.004727281
4930444A02RIK,-0.666771433,0.03317389
4930445E18RIK,2.040622598,0.000154714
4930445N06RIK,4.490553999,0.00023774
4930447J18RIK,3.614137231,0.007164603
4930447M23RIK,-2.720826576,1.79E-21
4930448C13RIK,2.821662583,0.031631093
4930449C09RIK,6.165708964,0.00027547
4930451E10RIK,-1.827534016,0.01032475
4930451G09RIK,-0.829700598,0.01423246
4930452B06RIK,-0.62945378,0.000300229
4930452N14RIK,3.176913052,0.001994805
4930453H23RIK,4.65736314,0.02785915
4930455C21RIK,-1.231028189,0.001625468
4930455D15RIK,3.928523834,1.42E-18
4930455F16RIK,5.820156154,0.000791954
4930458A03RIK,6.523774122,7.26E-05
4930463O16RIK,3.092899249,0.032057735
4930466F19RIK,-0.935698816,1.45E-05
4930466F19RIK,-0.935698816,1.45E-05
4930467E23RIK,3.068656976,8.60E-08
4930467E23RIK,3.030964981,9.62E-08
4930467E23RIK,2.972686615,1.03E-07
4930467E23RIK,3.052100041,1.70E-07
4930467E23RIK,2.862129949,2.21E-07
4930467E23RIK,2.999413424,3.48E-07
4930467E23RIK,1.60013418,4.41E-07
4930469K13RIK,1.78707278,0.00024284
4930470P17RIK,5.456505834,0.003300581
4930471C04RIK,1.556115462,0.036850616
4930471E19RIK,5.958444496,0.000577161
4930471L23RIK,2.001810116,0.019556333
4930474G06RIK,-0.848934938,0.000309754
4930474N09RIK,5.284972759,0.004962649
4930480K23RIK,-1.056977332,2.05E-05
4930482G09RIK,5.304794275,0.003984586
4930485B16RIK,-0.694497684,0.001037082
4930486L24RIK,5.282831161,3.05E-06
4930500F04RIK,5.310582872,0.004418926
4930500F10RIK,-1.226290852,0.026695734
4930500H12RIK,2.61764803,6.73E-05
4930503B20RIK,3.060315782,1.93E-06
4930503E14RIK,4.791410168,0.016855459
4930503E24RIK,4.662908492,0.00012416
4930504C09RIK,4.71037503,0.021485668
4930505A04RIK,2.491261341,1.31E-10
4930505K13RIK,7.068774867,7.17E-06
4930506C21RIK,-0.998547229,0.02896127
4930506M07RIK,-1.002431651,0.000485702
4930507D10RIK,5.816551678,0.001085185
4930512H18RIK,7.814799951,6.31E-14
4930512J16RIK,5.363225658,2.40E-06
4930513D17RIK,2.70517089,7.98E-07
4930518I15RIK,-0.622959528,0.011077596
4930518J21RIK,5.622795434,0.001507071
4930520O04RIK,-0.522880342,0.000330343
4930520P13RIK,6.622032307,4.69E-05
4930521O17RIK,4.311303115,0.046394453
4930523C07RIK,2.966827106,6.71E-28
4930525D18RIK,4.810565434,0.015244623
4930525G20RIK,-1.048014963,0.037001674
4930526F13RIK,2.491158967,0.010228917
4930526H09RIK,3.185688034,0.001431385
4930526L06RIK,2.730144924,0.000476188
4930527A07RIK,2.207818173,0.002474888
4930527J03RIK,4.897379935,0.014476417
4930529L06RIK,4.33902435,0.049915229
4930529M08RIK,-0.76427012,0.000308195
4930529M08RIK,-0.580931321,0.001085672
4930529M08RIK,-0.567900947,0.001509316
4930532M18RIK,6.649997023,3.71E-05
4930533K18RIK,1.710178334,0.000567531
4930533N22RIK,3.878647418,2.51E-05
4930542D17RIK,5.643949249,0.001442868
4930545L08RIK,2.507756882,0.017306729
4930546C10RIK,3.443095846,1.29E-05
4930546K05RIK,5.185534628,0.001356115
4930547E14RIK,-2.152382195,9.24E-92
4930549G23RIK,3.046822794,0.0042953
4930552P12RIK,4.173438848,8.49E-29
4930554G24RIK,3.544320112,0.000303279
4930554H23RIK,5.130032277,7.37E-06
4930555F03RIK,-0.747121066,0.048780747
4930555G07RIK,3.333753262,2.78E-05
4930556A17RIK,5.037193363,0.008850156
4930556C24RIK,4.540353403,0.03175442
4930556M19RIK,1.558115101,0.003814683
4930557K07RIK,2.051413027,3.29E-05
4930562C15RIK,3.424914396,2.47E-34
4930568A12RIK,2.19186585,0.001713024
4930568D16RIK,4.790550681,0.020258636
4930570E01RIK,1.575476068,0.012369512
4930570E03RIK,5.507111313,0.002312681
4930571O06RIK,5.337782749,0.004102428
4930572J05RIK,-0.581433593,0.013987055
4930573C15RIK,4.952377565,0.01240772
4930573I19RIK,-0.565855615,0.027257385
4930578E11RIK,3.026594389,0.003092888
4930578I06RIK,3.42930306,0.012742133
4930579F01RIK,6.711218098,3.00E-05
4930584F24RIK,4.822185362,0.020252947
4930586N03RIK,2.435245511,9.38E-11
4930589L23RIK,2.371168133,0.01343271
4930590J08RIK,1.885013789,3.94E-21
4930595L18RIK,2.048075779,0.041618769
4931408D14RIK,1.627471512,6.54E-08
4931415C17RIK,-1.196464817,0.005865978
4931428F04RIK,-1.321289036,5.95E-08
4931428F04RIK,-0.646482292,0.005255893
4931428L18RIK,4.343055543,0.000373466
4931429P17RIK,2.675792455,0.004958109
4931432E15RIK,-0.855732327,0.002901892
4931440J10RIK,-0.944498986,0.007432842
4931440P22RIK,2.096054957,0.001436279
4932414J04RIK,5.530092965,0.00201092
4932414N04RIK,3.659561288,0.007297586
4932415M13RIK,4.312100547,0.04875455
4932417H02RIK,-0.699215921,0.00335457
4932438A13RIK,-0.506984817,0.023234493
4932439E07RIK,-0.689802048,0.006745871
4933401D09RIK,3.263090011,0.028163645
4933402J07RIK,6.074588407,9.77E-05
4933402J15RIK,3.509462795,0.010209104
4933404G15RIK,5.672507214,0.001379447
4933404O12RIK,-1.137835532,8.27E-07
4933405D12RIK,2.157022476,0.000855639
4933406I18RIK,-0.513635901,1.89E-05
4933406J09RIK,3.815142803,9.59E-14
4933407G14RIK,4.148909095,0.000896057
4933407L21RIK,-1.663420811,0.000513043
4933407L21RIK,-0.763254274,0.039605927
4933409F18RIK,5.969193524,0.000503708
4933409K07RIK,-0.783556614,0.000140171
4933409K07RIK,-0.783556614,0.000140171
4933409K07RIK,-0.769343335,0.00015333
4933409K07RIK,-0.773688571,0.000171131
4933409K07RIK,-0.736005269,0.000260397
4933409K07RIK,-0.683853893,0.00028657
4933409K07RIK,-0.713725271,0.000317176
4933409K07RIK,-1.905124606,0.003693619
4933412E12RIK,2.396307341,4.09E-18
4933412O06RIK,-0.759894922,0.002021692
4933413A10RIK,-1.28250441,0.038691124
4933413J09RIK,3.79752482,3.82E-05
4933417A18RIK,4.699644445,0.02059392
4933421O10RIK,-0.690763004,0.004856314
4933425B07RIK,2.892968833,0.00797985
4933427D06RIK,3.490433777,0.010079921
4933427D14RIK,-0.680636155,4.68E-06
4933427E11RIK,2.030169941,3.37E-05
4933427E11RIK,3.172065797,0.000100871
4933430H16RIK,5.430354571,0.002907391
4933430N04RIK,5.038122516,0.008833319
4933431E20RIK,-1.97720061,1.03E-06
4933431E20RIK,-2.416115101,1.69E-37
4933431E20RIK,-1.764388479,1.20E-05
4933433H22RIK,7.242899692,3.67E-06
4933434P08RIK,3.082249477,0.032140791
4933438B17RIK,3.092044708,0.033167386
4933439C10RIK,-0.570699021,0.000630448
4933439C10RIK,-1.00784729,0.000676521
4933439F18RIK,-0.807199932,0.000427226
5_8S_RRNA,6.539825403,1.38E-05
5031426D15RIK,-0.549380409,0.032532038
5031439G07RIK,-0.801420646,0.043065382
5033421B08RIK,2.455954187,0.001054964
5330417C22RIK,-0.758194287,0.037177667
5330417C22RIK,-0.707864195,0.00755331
5330421C15RIK,-0.676059256,0.032528204
5330425B07RIK,2.508770676,0.004033709
5330429C05RIK,4.053519083,0.001432388
5330430C04RIK,-0.915085042,0.00049284
5330431K02RIK,-0.892625349,0.001013023
5330431K02RIK,-0.703725035,0.003141988
5330437I02RIK,-0.514676251,0.028964178
5430400D12RIK,-0.848725603,9.51E-06
5430401H09RIK,5.960820485,0.000565511
5430402O13RIK,-1.051343129,0.024463674
5430403G16RIK,-1.199627434,0.001125114
5430403N17RIK,3.240100038,0.023022177
5430407P10RIK,-1.049909659,0.000389101
5430437J10RIK,2.340585405,1.79E-05
5430440L12RIK,-0.808032079,0.00082909
5730405O15RIK,-1.583073694,1.45E-06
5730409E04RIK,-0.923988918,1.79E-21
5730410E15RIK,-0.566274633,0.006838573
5730419I09RIK,-0.543916872,0.000112229
5730419I09RIK,-0.876192431,0.007495029
5730455P16RIK,-0.798556151,2.88E-21
5730494M16RIK,-0.521518314,0.011484179
5730494N06RIK,-0.513284448,0.017348568
5730508B09RIK,1.568011085,0.047106131
5730522E02RIK,-0.794200121,1.19E-17
5730601F06RIK,-1.163790103,0.024099291
5730601F06RIK,-0.661781554,0.00208657
5830411J07RIK,-0.827961533,0.003361858
5830411N06RIK,2.917803948,0.048000355
5830417I10RIK,-0.890345585,0.00891587
5830428H23RIK,-0.930361581,0.000131902
5830428H23RIK,-0.733083865,0.001730491
5830433I10RIK,-1.146314591,0.012991339
5830443L24RIK,2.947996725,1.18E-08
5830443L24RIK,4.254625357,0.039642378
5830490A04RIK,-0.705600738,0.036950798
5930403N24RIK,-1.789458541,1.93E-05
6030419C18RIK,-0.662264696,0.00016288
6030442H21RIK,-0.566136636,0.002144061
6030442K20RIK,-1.003403548,0.038799051
6030443J06RIK,-1.672466931,0.012866023
6030458C11RIK,-0.929926425,1.29E-14
6030458C11RIK,-1.132777347,0.006205795
6030458C11RIK,-0.695918979,0.009942522
6030498E09RIK,2.239361826,0.012690011
6230400D17RIK,-0.681101969,0.015850689
6330403A02RIK,-1.315784139,8.76E-05
6330403A02RIK,-1.902276244,0.000303713
6330403K07RIK,-1.059732684,0.000476336
6330403K07RIK,-1.173751751,5.08E-34
6330403K07RIK,-0.66097785,0.001033622
6330415B21RIK,-0.694580864,0.033228512
6330415G19RIK,-1.549029561,0.012421109
6330439K17RIK,-0.724251484,0.000513571
6330503K22RIK,-0.827319228,0.021114702
6330509M05RIK,-0.992878361,0.010132897
6330514A18RIK,-0.59218569,0.000370829
6330527O06RIK,-1.177236865,0.005703793
6330527O06RIK,-1.445198603,0.036458278
6330537M06RIK,2.357237034,0.009893737
6332401O19RIK,-1.038251563,0.000127449
6332401O19RIK,-0.948264835,0.006856557
6430548M08RIK,-0.706231748,0.023440669
6430553K19RIK,2.678955907,2.48E-10
6430573F11RIK,-0.788466567,0.004261663
6430584L05RIK,-2.810697414,6.03E-11
6430704M03RIK,-1.215353679,0.041465522
6530401D17RIK,-0.878678909,0.009174959
6530402D11RIK,-0.995956486,0.000198789
